time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
12906,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12922,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12953,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12969,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13000,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13031,1,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13047,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13078,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13094,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13125,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13156,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13172,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
13203,1,957,68,0,0,0,0,0,0,0,0,0,0,0,0
13219,1,960,66,0,0,0,0,0,0,0,0,0,0,0,0
13250,1,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13281,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13297,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13328,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13344,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13375,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13406,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13422,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13453,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13469,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13500,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13531,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13547,1,961,66,0,1,0,0,0,0,0,0,0,0,0,0
13578,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13594,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13625,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13656,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13672,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13703,1,961,66,0,0,0,1,0,0,0,0,0,0,0,0
13734,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13750,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13781,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13797,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13828,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13844,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13875,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13906,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
13922,0,961,66,0,0,0,0,0,0,0,0,0,0,0,0
